,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
0,197677,https://www.airbnb.com/rooms/197677,20240927024131,2024-09-27,city scrape,Oshiage Holiday Apartment,,,https://a0.muscache.com/pictures/38437056/d27fa43f_original.jpg,964081,https://www.airbnb.com/users/show/964081,Yoshimi & Marek,2011-08-13,"Tokyo, Japan",Would love to travel all over the world and meet and feel the different people and cultures.,within a day,100%,91%,t,https://a0.muscache.com/im/users/964081/profile_pic/1319512318/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/964081/profile_pic/1319512318/original.jpg?aki_policy=profile_x_medium,Sumida District,1,2,"['email', 'phone']",t,t,,Sumida Ku,,35.71707,139.82608,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,2.0,"[""Essentials"", ""Carbon monoxide alarm"", ""Self check-in"", ""Hangers"", ""Shampoo"", ""Lockbox"", ""Microwave"", ""Iron"", ""Air conditioning"", ""Free washer \u2013 In unit"", ""Kitchen"", ""Hair dryer"", ""Smoke alarm"", ""Refrigerator"", ""Fire extinguisher"", ""Hot water"", ""Heating"", ""Wifi"", ""TV"", ""Dishes and silverware"", ""Dryer""]","$13,000.00",3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,,t,15,27,40,241,2024-09-27,180,7,1,2011-09-21,2024-09-06,4.78,4.75,4.91,4.84,4.83,4.55,4.8,M130003350,f,1,1,0,0,1.14
16,1394409,https://www.airbnb.com/rooms/1394409,20240927024131,2024-09-27,city scrape,Room in Mejiro/Ikebukuro (2of2) for 1 person,"· 7-min walk from Mejiro Station on JR Yamanote line<br />· 15-min walk to Ikebukuro, a hub city in Tokyo <br />· Quiet and comfortable residential area with supermarkets, restaurants etc. <br />· This room suits 1 person<br />· Non-smokers only please","· An ideal neighborhood coveted even by locals! A quiet residential area nestled in the heart of Tokyo with quick and easy access to the JR Yamanote Line and major metropolitan centers and attractions. Perfect for travelers who want to immerse themselves in the chaos of the city by day and come home to a quiet home at night for rest.<br />· Plenty of cute side streets, parks, shops etc. to explore in the immediate area, if you don't feel like venturing too far. Guests often tell me about a restaurant or pub they've discovered close to the house that I didn't even know was there!<br />· Shinjuku, the biggest city in the Tokyo area, is 3 stops away on the Yamanote Line; Ikebukuro, another large, bustling city, is a short walk (10-15 mins) from the house.<br />· From Mejiro Station to my house is about a 7-minute walk. When you book your room, I will provide detailed instructions for getting to the house, both from Mejiro Station and from Haneda and Narita Airports. The instructions are c",https://a0.muscache.com/pictures/hosting/Hosting-1394409/original/1aea1385-56aa-4195-9d86-c9b6cf26879e.jpeg,7537357,https://www.airbnb.com/users/show/7537357,Yayoi,2013-07-17,"Toshima City, Japan","Hello, travelers!

I am a fun, easy-going Tokyo native who enjoys meeting people from all over the world and hearing about their lives, cultures, and experiences. My interests include languages, culture, literature, economics, exercise, cooking, and traveling. I have lived in Mejiro most of my life, so you’ll be staying with a true local.
I’m often outside the house for work or visiting friends and family, but whenever I’m home I look forward to hanging out and enjoying good conversation with my guests. I’ve met so many interesting people since I start hosting!

I have two daughters named Yuna (born in 2016) and Yuki (2019).

Any guests who don’t mind kids around are welcome!

I have three rooms available through Airbnb, so please check for all my listings if the first one you see doesn’t suit your schedule.
We hope you have a wonderful time in Japan!",within a day,100%,89%,f,https://a0.muscache.com/im/users/7537357/profile_pic/1374043077/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/7537357/profile_pic/1374043077/original.jpg?aki_policy=profile_x_medium,Toshima District,2,4,"['email', 'phone']",t,t,"Toshima, Tokyo, Japan",Toshima Ku,,35.72415,139.70151,Private room in home,Private room,1,2.0,2 shared baths,1.0,1.0,"[""Essentials"", ""Keypad"", ""Carbon monoxide alarm"", ""Self check-in"", ""Hangers"", ""Shampoo"", ""Air conditioning"", ""Private entrance"", ""Bathtub"", ""Kitchen"", ""Dedicated workspace"", ""Hair dryer"", ""Smoke alarm"", ""Fire extinguisher"", ""Clothing storage"", ""Paid parking off premises"", ""Hot water"", ""Heating"", ""Wifi"", ""Washer"", ""Luggage dropoff allowed""]","$6,000.00",3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,,t,0,14,44,319,2024-09-27,233,7,2,2013-09-11,2024-09-21,4.71,4.78,4.63,4.86,4.89,4.76,4.74,M130000166,f,2,0,2,0,1.73
17,1394737,https://www.airbnb.com/rooms/1394737,20240927024131,2024-09-27,city scrape,Room in Mejiro/Ikebukuro (1of2) for 1 person,"· 7-min walk from Mejiro Station on JR Yamanote line<br />· 15-min walk to Ikebukuro, a hub city in Tokyo <br />· Quiet and comfortable residential area with supermarkets, restaurants etc. <br />· This room suits 1  person","· An ideal neighborhood coveted even by locals! A quiet residential area nestled in the heart of Tokyo with quick and easy access to the JR Yamanote Line and major metropolitan centers and attractions. Perfect for travelers who want to immerse themselves in the chaos of the city by day and come home to a quiet home at night for rest.<br />· Plenty of cute side streets, parks, shops etc. to explore in the immediate area, if you don't feel like venturing too far. Guests often tell me about a restaurant or pub they've discovered close to the house that I didn't even know was there!<br />· Shinjuku, the biggest city in the Tokyo area, is 3 stops away on the Yamanote Line; Ikebukuro, another large, bustling city, is a short walk (10-15 mins) from the house.<br />· From Mejiro Station to my house is about a 7-minute walk. When you book your room, I will provide detailed instructions for getting to the house, both from Mejiro Station and from Haneda and Narita Airports. The instructions are c",https://a0.muscache.com/pictures/hosting/Hosting-1394737/original/4353116e-b277-429e-aa92-4b1e69b1b4bd.jpeg,7537357,https://www.airbnb.com/users/show/7537357,Yayoi,2013-07-17,"Toshima City, Japan","Hello, travelers!

I am a fun, easy-going Tokyo native who enjoys meeting people from all over the world and hearing about their lives, cultures, and experiences. My interests include languages, culture, literature, economics, exercise, cooking, and traveling. I have lived in Mejiro most of my life, so you’ll be staying with a true local.
I’m often outside the house for work or visiting friends and family, but whenever I’m home I look forward to hanging out and enjoying good conversation with my guests. I’ve met so many interesting people since I start hosting!

I have two daughters named Yuna (born in 2016) and Yuki (2019).

Any guests who don’t mind kids around are welcome!

I have three rooms available through Airbnb, so please check for all my listings if the first one you see doesn’t suit your schedule.
We hope you have a wonderful time in Japan!",within a day,100%,89%,f,https://a0.muscache.com/im/users/7537357/profile_pic/1374043077/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/7537357/profile_pic/1374043077/original.jpg?aki_policy=profile_x_medium,Toshima District,2,4,"['email', 'phone']",t,t,"Toshima, Tokyo, Japan",Toshima Ku,,35.7241,139.70343,Private room in home,Private room,1,2.0,2 shared baths,2.0,2.0,"[""Essentials"", ""Keypad"", ""Carbon monoxide alarm"", ""Self check-in"", ""Hangers"", ""Shampoo"", ""Air conditioning"", ""Private entrance"", ""Bathtub"", ""Kitchen"", ""Hair dryer"", ""Smoke alarm"", ""Fire extinguisher"", ""Shared hot tub"", ""Paid parking off premises"", ""Hot water"", ""Heating"", ""Wifi"", ""Washer"", ""Dryer""]","$5,500.00",30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,,t,9,18,30,273,2024-09-27,236,15,1,2013-08-15,2024-09-10,4.68,4.75,4.57,4.85,4.89,4.75,4.7,M130000166,f,2,0,2,0,1.74
19,5198467,https://www.airbnb.com/rooms/5198467,20240927024131,2024-09-27,city scrape,Wonderful Japanese style OTOME! (*´ω｀),"In this area, there is a cityscape with the atmosphere of Tokyo downtown.<br />Also, the Yanesen area is an area where the shrines and Buddhist temples are very many, yet the very charming area of the city center.There are many very delicious small restaurants, and many specialty stores such as grocery stores and butchers are also attractive.Please enjoy living in the Yanesen area, which has been cherished by local residents.<br />There are many customers from overseas, and some people can use it repeatedly every year.<br />The price is the same for up to 3 people.There is an extra charge from 4 people.<br />Architect's design that won the Grand Prix of the Landscape Award.<br /> It is a rare building of wonderful Japanese style.<br />Accommodation for 7 guests in central Tokyo<br />It is near from famous sightseeing spots, YANAKA, SENDGI, NEZU (YANESEN).<br />It is very clean!!!","It is also within walking distance to Tanaka Ginza.<br />Tanaka Ginza has a reputation for its atmosphere dating back to the Edo period. It's 175 meters long and 5-6 meters wide, and the streets are filled with over 70 shops. Enjoy Tokyo's downtown alleys and comfortable living.<br /><br />The property is close to Yanaka Ginza! <br />Yanaka Ginza is the center of commerce of Yanaka City and is prized for its atmosphere which brings you back to the Edo Period. At 175 meters long and 5-6 meters wide, the street is packed with 70 shops.",https://a0.muscache.com/pictures/64995336/f72872e5_original.jpg,25911199,https://www.airbnb.com/users/show/25911199,Tomoya,2015-01-10,"Tokyo, Japan","Hello, everyone!
My name is Tomoya.

Tokyo is one of the most attractive cities in the world. I am sure your stay in Tokyo will be exciting and inspiring! 
After all day exploring, our properties will help you feel relaxed and heal your tired body.

I sincerely hope your trip will be wonderful and memorable.
I and our staff are really looking forward to seeing you in Exciting Tokyo.",within a day,100%,100%,t,https://a0.muscache.com/im/pictures/user/732b81e7-fae6-44f6-846e-cc4cc2c194ac.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/732b81e7-fae6-44f6-846e-cc4cc2c194ac.jpg?aki_policy=profile_x_medium,Bunkyo District,1,17,"['email', 'phone']",t,t,"Bunkyō-ku, Tōkyō-to, Japan",Bunkyo Ku,,35.72129,139.76323,Entire home,Entire home/apt,7,1.0,1 bath,2.0,5.0,"[""TV with standard cable"", ""Essentials"", ""Bed linens"", ""Rice maker"", ""Cooking basics"", ""Hangers"", ""Shampoo"", ""Stove"", ""Self check-in"", ""Microwave"", ""Lockbox"", ""Iron"", ""Private patio or balcony"", ""Air conditioning"", ""Private entrance"", ""Laundromat nearby"", ""Freezer"", ""Kitchen"", ""Outdoor furniture"", ""Hair dryer"", ""Long term stays allowed"", ""Smoke alarm"", ""Refrigerator"", ""Fire extinguisher"", ""Hot water kettle"", ""Oven"", ""Ethernet connection"", ""Toaster"", ""Hot water"", ""Dining table"", ""Heating"", ""Wifi"", ""Dishes and silverware"", ""Washer"", ""Luggage dropoff allowed"", ""Dryer""]","$45,000.00",3,120,1.0,3.0,120.0,120.0,3.0,120.0,,t,12,42,72,347,2024-09-27,63,10,0,2015-03-02,2024-07-31,4.81,4.87,4.9,4.97,4.94,4.77,4.66,M130017222,f,1,1,0,0,0.54
21,5231172,https://www.airbnb.com/rooms/5231172,20240927024131,2024-09-27,previous scrape,"#2 Workdesk/Discover local life, culture & People","Finally, the bordar was opened!<br /><br />Hi, this is Toshi, an English speaker. Welcome to this neighborhood and my home. This area, called YaNeSen(Yanaka, Sendagi, Nezu), has preserved the charm as creating a contrast of old and new at the same time. It's because of the tendency to re-purpose older buildings rather than rebuilding. My home is a big house in good condition even located in central Tokyo. I manage this house as enjoying sharing life. In a word, the best place to feel local life in Tokyo.","Super convenient location to get around Tokyo. <br />6 min walk from the nearest subway station. <br />A gate area to central Tokyo from airport. <br /><br />Here is a remaining authentic downtown in Tokyo. A quiet neighborhood with one of the most vivid local market street in Tokyo, beautiful sakura-lined cemetery, plenty of temples, old and new indie cafes, restaurants, shops and stalls, some of which have passed down through generations, and art galleries, etc. All of them are within 1-15 mins walking distance. So now here attracts both Japanese and foreigner visitors so much. Just lovely area.<br /><br />- Local shopping street, Yanaka Ginza (10 mins walk) <br />- Yanaka Cemetery (10 mins walk) <br />- Ueno Park (15 mins walk) <br />- University of Tokyo (15 mins walk)<br />- 24/7 convenience store (5 min walk)<br />- Supermarket (6 min walk) <br />- Drugstores (3 min walk)",https://a0.muscache.com/pictures/miso/Hosting-5231172/original/2e01dd2c-54f2-452c-baa2-1ce739d683f9.jpeg,4839990,https://www.airbnb.com/users/show/4839990,Toshiyuki,2013-01-25,"Bunkyo City, Japan","Hi there.
A serial entrepreneur since late twenties. After got tired of my work life, shifted to live my life, not for work.
- Managing a share/guest house
- Business and team building trainer in internship and self-developing program
- Providing communication training and self-awareness session

Now preparing a vacation rental / my second house in a country seaside area.  
Down shifted with less money, less stress, more time, more happiness.",within a day,100%,97%,t,https://a0.muscache.com/im/pictures/user/6a2cfd8c-48d6-4cef-88ae-8d163305e3ca.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/6a2cfd8c-48d6-4cef-88ae-8d163305e3ca.jpg?aki_policy=profile_x_medium,Bunkyo District,3,5,"['email', 'phone', 'work_email']",t,t,"Bunkyō-ku, Tōkyō-to, Japan",Bunkyo Ku,,35.72257,139.76271,Private room in home,Private room,1,,2 shared baths,,,"[""Essentials"", ""Bed linens"", ""Baking sheet"", ""Rice maker"", ""Cooking basics"", ""Hangers"", ""Shampoo"", ""Self check-in"", ""Microwave"", ""Coffee maker"", ""Cleaning products"", ""Conditioner"", ""Hot tub"", ""Iron"", ""Air conditioning"", ""Bathtub"", ""Clothing storage: closet"", ""Exterior or entryway security camera present"", ""Freezer"", ""Body soap"", ""Kitchen"", ""Dedicated workspace"", ""Hair dryer"", ""Long term stays allowed"", ""Smoke alarm"", ""Refrigerator"", ""Blender"", ""Fire extinguisher"", ""Coffee"", ""Hot water kettle"", ""Oven"", ""Wine glasses"", ""Bidet"", ""Smart lock"", ""Hot water"", ""Dining table"", ""Heating"", ""Wifi"", ""Dishes and silverware"", ""Washer"", ""Luggage dropoff allowed"", ""Dryer"", ""Room-darkening shades""]",,4,45,4.0,4.0,45.0,45.0,4.0,45.0,,t,0,0,0,0,2024-09-27,21,5,0,2015-03-29,2024-03-16,4.9,4.9,4.81,4.85,5.0,4.86,4.9,M130016568,f,2,0,2,0,0.18
33,5410242,https://www.airbnb.com/rooms/5410242,20240927024131,2024-09-27,city scrape,Steve's International Guest Place,"Certified Private Lodging certified# M130000018 by Gov.<br />All house rules are written in English. Please refrain from staying if you cannot understand or speak English. Also, please refrain from staying with children under elementary school age.<br />Easy access to the nearest station,just 4 min walk, fully equipped. not so big room, but believe enough 'bed and Shower'.The room is one of apartment / flats rooms my own building, you can keep your privacy completely.","This area is very popular area among ' Intelligentsia ' and many antique shops, family operated restaurants, quiet area, easy access to Shinjuku, Shibuya, Tokyo Station by train. Walking distance to Kichijyoji where one of the town you want to live among young Japanese! Our town, very famous for antique shops and small reataurants. There are many reasonable Delis and coffee shops for B/F!",https://a0.muscache.com/pictures/111201921/d77513fc_original.jpg,28045851,https://www.airbnb.com/users/show/28045851,Steve,2015-02-20,"Suginami, Japan","Hi! I worked for several international airlines. Our town, Nishiogikubo, Suginami-ku is really nice place, many antique shops, good family operated restaurants, good bars and from my guest place to nearest JR station, just 4 min walk, then  just 15 min to Shinjuku by train.
Airline employee discount rate available! I will assist your unforgetable stay in Japan!!!!",within a day,100%,50%,t,https://a0.muscache.com/im/pictures/user/9ff6bf3f-088a-4b59-9cb2-0282426f1bf2.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/9ff6bf3f-088a-4b59-9cb2-0282426f1bf2.jpg?aki_policy=profile_x_medium,Suginami District,1,1,"['email', 'phone']",t,t,"Suginami-ku, Tōkyō-to, Japan",Suginami Ku,,35.70055,139.60022,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,2.0,"[""TV with standard cable"", ""Essentials"", ""Bed linens"", ""Hangers"", ""Shampoo"", ""Ceiling fan"", ""Single level home"", ""Microwave"", ""Coffee maker"", ""Cleaning products"", ""Conditioner"", ""Shower gel"", ""Free dryer \u2013 In unit"", ""Bathtub"", ""Private entrance"", ""Laundromat nearby"", ""Body soap"", ""Host greets you"", ""AC - split type ductless system"", ""Dedicated workspace"", ""Hair dryer"", ""Long term stays allowed"", ""Smoke alarm"", ""Refrigerator"", ""Fire extinguisher"", ""Coffee"", ""Heating - split type ductless system"", ""Extra pillows and blankets"", ""Shared patio or balcony"", ""Clothing storage: dresser"", ""Portable heater"", ""First aid kit"", ""Hot water"", ""Wifi"", ""Free washer"", ""Drying rack for clothing"", ""Dishes and silverware"", ""Hot water kettle"", ""Books and reading material"", ""Luggage dropoff allowed""]","$9,431.00",4,60,4.0,4.0,60.0,60.0,4.0,60.0,,t,7,7,7,7,2024-09-27,63,2,0,2016-01-07,2023-11-29,4.87,4.95,4.94,5.0,4.92,4.92,4.92,M130000018,f,1,1,0,0,0.59
61,2839061,https://www.airbnb.com/rooms/2839061,20240927024131,2024-09-27,city scrape,"#1 Discover local life, culture & People/Work desk","Hi, this is Toshi, an English speaker. Welcome to this neighborhood and my home. This area, called YaNeSen(Yanaka, Sendagi, Nezu), has preserved the charm as creating a contrast of old and new at the same time. It's because of the tendency to re-purpose older buildings rather than rebuilding. My home is a big house in good condition even located in central Tokyo. I manage this house as enjoying sharing life. In a word, the best place to feel local life in Tokyo.","Super convenient location to get around Tokyo. <br />6 min walk from the nearest subway station. <br />A gate area to central Tokyo from airport. <br /><br />Here is a remaining authentic downtown in Tokyo. A quiet neighborhood with one of the most vivid local market street in Tokyo, beautiful sakura-lined cemetery, plenty of temples, old and new indie cafes, restaurants, shops and stalls, some of which have passed down through generations, and art galleries, etc. All of them are within 1-15 mins walking distance. So now here attracts both Japanese and foreigner visitors so much. Just lovely area.<br /><br />- Local shopping street, Yanaka Ginza (10 mins walk) <br />- Yanaka Cemetery (10 mins walk) <br />- Ueno Park (15 mins walk) <br />- University of Tokyo (15 mins walk)<br />- 24/7 convenience store (5 min walk)<br />- Supermarket (6 min walk) <br />- Drugstores (3 min walk)",https://a0.muscache.com/pictures/56bf01c0-d70a-4f11-af01-5d916bb8b77c.jpg,4839990,https://www.airbnb.com/users/show/4839990,Toshiyuki,2013-01-25,"Bunkyo City, Japan","Hi there.
A serial entrepreneur since late twenties. After got tired of my work life, shifted to live my life, not for work.
- Managing a share/guest house
- Business and team building trainer in internship and self-developing program
- Providing communication training and self-awareness session

Now preparing a vacation rental / my second house in a country seaside area.  
Down shifted with less money, less stress, more time, more happiness.",within a day,100%,97%,t,https://a0.muscache.com/im/pictures/user/6a2cfd8c-48d6-4cef-88ae-8d163305e3ca.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/6a2cfd8c-48d6-4cef-88ae-8d163305e3ca.jpg?aki_policy=profile_x_medium,Bunkyo District,3,5,"['email', 'phone', 'work_email']",t,t,"Bunkyō-ku, Tōkyō-to, Japan",Bunkyo Ku,,35.72035,139.76445,Private room in home,Private room,2,2.0,2 shared baths,1.0,1.0,"[""Essentials"", ""Bed linens"", ""Baking sheet"", ""Rice maker"", ""Carbon monoxide alarm"", ""Patio or balcony"", ""Cooking basics"", ""Hangers"", ""Shampoo"", ""Stove"", ""Self check-in"", ""Microwave"", ""Coffee maker"", ""Cleaning products"", ""Conditioner"", ""Iron"", ""Bathtub"", ""Clothing storage: closet"", ""Exterior or entryway security camera present"", ""Body soap"", ""Free washer \u2013 In building"", ""Kitchen"", ""AC - split type ductless system"", ""Dedicated workspace"", ""Hair dryer"", ""Long term stays allowed"", ""Smoke alarm"", ""Refrigerator"", ""Blender"", ""Fire extinguisher"", ""Coffee"", ""Shared hot tub"", ""Oven"", ""Wine glasses"", ""Bidet"", ""Extra pillows and blankets"", ""Toaster"", ""Smart lock"", ""Hot water"", ""Dining table"", ""Portable fans"", ""Heating"", ""Wifi"", ""Dishes and silverware"", ""Hot water kettle"", ""Luggage dropoff allowed"", ""Dryer"", ""Room-darkening shades""]","$11,317.00",5,45,5.0,5.0,45.0,45.0,5.0,45.0,,t,2,11,38,38,2024-09-27,118,15,0,2015-07-01,2024-07-19,4.91,4.92,4.86,4.9,4.98,4.89,4.87,M130016568,f,2,0,2,0,1.05
62,2867835,https://www.airbnb.com/rooms/2867835,20240927024131,2024-09-27,city scrape,Cozy Apartment 2 Min Walk from Takenotsuka,"Discover the perfect blend of convenience and comfort in this charming apartment, ideally situated just a 2-minute walk from Takenotsuka Station. With quick and easy access to Tokyo's vibrant central districts, you can explore Ueno in just 20 minutes and reach the stylish streets of Ginza in 40 minutes by train. Whether you're commuting for work or exploring the city's attractions, this apartment offers the ideal home base.",Takenotsuka is a residential district of Adachi Ward in the northeast section of Tokyo.  <br /><br />Food is easy to find as the neighborhood has convenience store and supermarket nearby. Also within walking distance are local restaurants and independent shops.,https://a0.muscache.com/pictures/37350048/31eaa6ca_original.jpg,9360394,https://www.airbnb.com/users/show/9360394,Vann Amor,2013-10-11,"Tokyo, Japan","We have 4 properties to share with you.
All of them are strictly NON-Smoking, well furnished with full facilities.
We speak Japanese and English, please feel free to contact us!

",within a day,100%,72%,f,https://a0.muscache.com/im/pictures/user/b6f8f709-a8bc-4f6b-8364-496e9bf17cf4.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/b6f8f709-a8bc-4f6b-8364-496e9bf17cf4.jpg?aki_policy=profile_x_medium,Adachi District,4,16,"['email', 'phone']",t,t,"足立区, 東京都, Japan",Adachi Ku,,35.79124,139.79102,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,3.0,"[""Essentials"", ""Keypad"", ""Rice maker"", ""Cooking basics"", ""Hangers"", ""Shampoo"", ""Self check-in"", ""Microwave"", ""Washer"", ""Iron"", ""Air conditioning"", ""Hair dryer"", ""Long term stays allowed"", ""Smoke alarm"", ""Refrigerator"", ""Fire extinguisher"", ""Kitchenette"", ""Toaster"", ""Hot water"", ""Heating"", ""Wifi"", ""TV"", ""Hot water kettle""]","$12,200.00",7,1125,7.0,7.0,1125.0,1125.0,7.0,1125.0,,t,23,53,83,83,2024-09-27,12,4,0,2015-04-07,2024-04-24,4.42,4.5,4.67,4.75,4.58,4.58,4.42,M130004932,f,4,3,1,0,0.1
71,2883753,https://www.airbnb.com/rooms/2883753,20240927024131,2024-09-27,city scrape,Cozy 2-Min Walk to Takenotsuka – Explore Tokyo,"Welcome to your perfect Tokyo retreat! This cozy apartment is just a 2-minute walk from Takenotsuka Station, with shopping district where you can shop for daily life. Enjoy seamless access to Tokyo’s vibrant central districts:<br /><br />Ueno: Only 20 minutes away<br /><br />Akihabara: Reach in 30 minutes<br /><br />Ginza: Just 40 minutes by train<br /><br /> Donki (Don Quixote)<br /><br />Daiso (100 yen)<br /><br />Whether you're here for sightseeing or business, this apartment offers an ideal base to explore Tokyo effortlessly.",Takenotsuka is a residential district of Adachi Ward in the northeast section of Tokyo.  <br />Food is easy to find as the neighborhood has convenience store and supermarket nearby. Also within walking distance are local restaurants and independent shops.<br />,https://a0.muscache.com/pictures/37351729/955c7160_original.jpg,9360394,https://www.airbnb.com/users/show/9360394,Vann Amor,2013-10-11,"Tokyo, Japan","We have 4 properties to share with you.
All of them are strictly NON-Smoking, well furnished with full facilities.
We speak Japanese and English, please feel free to contact us!

",within a day,100%,72%,f,https://a0.muscache.com/im/pictures/user/b6f8f709-a8bc-4f6b-8364-496e9bf17cf4.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/b6f8f709-a8bc-4f6b-8364-496e9bf17cf4.jpg?aki_policy=profile_x_medium,Adachi District,4,16,"['email', 'phone']",t,t,"足立区, 東京都, Japan",Adachi Ku,,35.791368746081226,139.79204721255772,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,3.0,"[""Essentials"", ""Keypad"", ""Rice maker"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Self check-in"", ""Shampoo"", ""Microwave"", ""Washer"", ""Iron"", ""Air conditioning"", ""Hair dryer"", ""Long term stays allowed"", ""Smoke alarm"", ""Refrigerator"", ""Fire extinguisher"", ""Kitchenette"", ""Toaster"", ""Heating"", ""Wifi"", ""TV"", ""Hot water kettle""]","$12,200.00",7,1125,7.0,7.0,1125.0,1125.0,7.0,1125.0,,t,23,49,65,65,2024-09-27,6,3,0,2018-10-31,2024-03-31,4.33,4.67,4.33,4.67,4.67,4.33,4.67,M130004931,f,4,3,1,0,0.08
72,2883869,https://www.airbnb.com/rooms/2883869,20240927024131,2024-09-27,city scrape,Charming Studio Near Takenotsuka Station,"Welcome to your cozy home away from home! This charming studio apartment is just a quick 2-minute walk from Takenotsuka Station, placing you in the heart of a vibrant neighborhood filled with shops, restaurants, and entertainment options. Whether you're here for business or leisure, you'll love the convenience of our location, offering easy train access to Tokyo's top attractions: Ueno (20 minutes), Akihabara (30 minutes), and Ginza (40 minutes)",Takenotsuka is a residential district of Adachi Ward in the northeast section of Tokyo.  <br /><br />Food is easy to find as the neighborhood has convenience store and supermarket nearby. Also within walking distance are local restaurants and independent shops<br />,https://a0.muscache.com/pictures/48813146/787a1739_original.jpg,9360394,https://www.airbnb.com/users/show/9360394,Vann Amor,2013-10-11,"Tokyo, Japan","We have 4 properties to share with you.
All of them are strictly NON-Smoking, well furnished with full facilities.
We speak Japanese and English, please feel free to contact us!

",within a day,100%,72%,f,https://a0.muscache.com/im/pictures/user/b6f8f709-a8bc-4f6b-8364-496e9bf17cf4.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/b6f8f709-a8bc-4f6b-8364-496e9bf17cf4.jpg?aki_policy=profile_x_medium,Adachi District,4,16,"['email', 'phone']",t,t,"足立区, 東京都, Japan",Adachi Ku,,35.79166,139.79285,Entire rental unit,Entire home/apt,1,1.0,1 bath,1.0,1.0,"[""Essentials"", ""Rice maker"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Hangers"", ""Shampoo"", ""Self check-in"", ""Microwave"", ""Washer"", ""Iron"", ""Air conditioning"", ""Hair dryer"", ""Smoke alarm"", ""Refrigerator"", ""Fire extinguisher"", ""Kitchenette"", ""Toaster"", ""Smart lock"", ""Hot water"", ""Heating"", ""Wifi"", ""TV"", ""Hot water kettle""]","$6,266.00",7,1125,7.0,7.0,1125.0,1125.0,7.0,1125.0,,t,23,53,83,83,2024-09-27,10,4,0,2015-04-13,2024-05-31,4.7,4.9,4.8,5.0,4.8,4.2,4.2,M130004934,f,4,3,1,0,0.09
