,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1841,29428737,https://www.airbnb.com/rooms/29428737,20240927024131,2024-09-27,previous scrape,4 beds mix dormitory 3rd,The nearest spot is Shibamata Teaten.We pride ourselves on being quiet.,,https://a0.muscache.com/pictures/e21d2522-b19a-4796-b7ab-cb400e903555.jpg,33478325,https://www.airbnb.com/users/show/33478325,Yukihiko,2015-05-16,"Katsushika, Japan",,,,60%,f,https://a0.muscache.com/im/users/33478325/profile_pic/1431766752/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/33478325/profile_pic/1431766752/original.jpg?aki_policy=profile_x_medium,Katsushika District,7,7,"['email', 'phone']",t,t,,Katsushika Ku,,35.74581,139.86323,Shared room in home,Shared room,1,,0 shared baths,,,"[""Essentials"", ""Hair dryer"", ""Smoke alarm"", ""Air conditioning"", ""Wifi"", ""Shampoo"", ""Washer"", ""Kitchen"", ""Dryer""]",,2,30,2.0,2.0,30.0,30.0,2.0,30.0,,t,0,0,0,0,2024-09-27,3,0,0,2019-04-29,2019-09-26,4.0,4.67,2.33,4.67,5.0,4.67,4.33,Hotels and Inns Business Act | 葛飾区保健所 | 26葛保生第3738号,f,7,0,1,6,0.05
2621,33564908,https://www.airbnb.com/rooms/33564908,20240927024131,2024-09-27,city scrape,Monthly 4BR/90sqm/JR Ikebukuro,"Huge & beautiful house (90m2/4BR/2 stories) nearby IKEBUKURO , biggest station in Tokyo!<br />-3 bed room, 1 tatami Japanese room, 1 living/dining<br />-2 rest rooms, 1 bathroom w/automated bath tab<br />You can use many major train line incl. JR, Metro &more!<br />We can accommodate 1 more people, so please let us know if you want!<br />※This is a short stay apartment so you need to conclude a fixed term lease agreement with us.","Ikebukuro station is one of the major hubs in Tokyo, with JR lines (Yamanote, Saikyo, and Shonan-Shinjuku), Tokyo Metro lines (Marunouchi, Yurakucho, and Fukutoshin), Tobu Line, and Seibu Line all coming in and out. The apartment itself is in a quiet neighborhood and it is hard to believe that it is right in the thick of mega-city Tokyo.",https://a0.muscache.com/pictures/5ff02fa0-0b74-4396-94ec-268625352f03.jpg,16188418,https://www.airbnb.com/users/show/16188418,Ken,2014-05-30,"Minato, Japan","I live in tokyo for over 10 years and working for global company. 
Love music, travel, movies and also composing music, playing instruments.
I know a lot of interesting place, restaurants in Tokyo.
Really looking forward to seeing you! :)",within an hour,100%,99%,f,https://a0.muscache.com/im/users/16188418/profile_pic/1401496645/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/16188418/profile_pic/1401496645/original.jpg?aki_policy=profile_x_medium,Ikebukuro,10,28,"['email', 'phone']",t,t,"Toshima City, Tōkyō-to, Japan",Toshima Ku,,35.7285,139.70628,Entire home,Entire home/apt,8,1.0,1 bath,4.0,3.0,"[""TV with standard cable"", ""Essentials"", ""Bed linens"", ""Rice maker"", ""Carbon monoxide alarm"", ""Gas stove"", ""Cooking basics"", ""Hangers"", ""Shampoo"", ""Microwave"", ""Cleaning products"", ""Conditioner"", ""Iron"", ""Air conditioning"", ""Private entrance"", ""Bathtub"", ""Freezer"", ""Body soap"", ""Kitchen"", ""Hair dryer"", ""Long term stays allowed"", ""Smoke alarm"", ""Refrigerator"", ""Fire extinguisher"", ""Hot water kettle"", ""Ethernet connection"", ""Bidet"", ""Hot water"", ""Dining table"", ""Heating"", ""Wifi"", ""Dishes and silverware"", ""Washer"", ""Room-darkening shades""]","$29,761.00",28,365,28.0,28.0,365.0,365.0,28.0,365.0,,t,15,45,75,350,2024-09-27,5,2,0,2020-02-09,2024-08-25,4.0,3.6,2.6,4.2,4.0,4.6,3.8,M130006742,t,10,10,0,0,0.09
2630,33567739,https://www.airbnb.com/rooms/33567739,20240927024131,2024-09-27,city scrape,Monthly Fully Renovated/80sqm/Tokyo,"A clean,  renovated and beautiful house w 2 bedroom and 1living dining room, We can accommodate 1 more people, so please let us know if you want!<br /><br />Only 7 min to the sta.(Nippori: 10min/Ueno: 14min/Asakusa: 20min/Akihabara: 22min/ Good access to Narita and Haneda airport)<br /><br />TV(Chromecat is ready!)/ WiFi are all provided!<br />※This is a short stay apartment so you need to conclude a fixed term lease agreement with us.","Horikiri is great area.<br />There is a famous park called Horikiri Iris Garden (堀切菖蒲園) Which is very close to the house.<br />The garden was created during the Edo period, one of many iris gardens which flourished at the time as sightseeing destinations. The garden's irises reach their peak from early to mid-June. Other flowers such as Japanese apricots, tree peonies, winter cherries, and wisteria come into bloom throughout the year. The Seikan-tei restaurant, which is outfitted with a casual cafe corner, operates on the garden grounds and serves seasonal Japanese dishes.<br /><br />Located in the northeastern part of Tokyo and bounded by the Edogawa, Nakagawa, and Arakawa Rivers, Katsushika Ward boasts of a prominent green riverine environment in the heart of Tokyo. Amidst the rich natural settings, warmhearted local residents cherish close and friendly exchanges in their daily lives. The essence of the shitamachi atmosphere (a term referring to the backstreet residential districts o",https://a0.muscache.com/pictures/fab7a7a7-7ca4-43ff-8fba-a353d72ac77f.jpg,16188418,https://www.airbnb.com/users/show/16188418,Ken,2014-05-30,"Minato, Japan","I live in tokyo for over 10 years and working for global company. 
Love music, travel, movies and also composing music, playing instruments.
I know a lot of interesting place, restaurants in Tokyo.
Really looking forward to seeing you! :)",within an hour,100%,99%,f,https://a0.muscache.com/im/users/16188418/profile_pic/1401496645/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/16188418/profile_pic/1401496645/original.jpg?aki_policy=profile_x_medium,Ikebukuro,10,28,"['email', 'phone']",t,t,"Katsushika City, Tōkyō-to, Japan",Katsushika Ku,,35.74374,139.82756,Entire home,Entire home/apt,10,1.0,1 bath,2.0,4.0,"[""Essentials"", ""Bed linens"", ""Rice maker"", ""Carbon monoxide alarm"", ""Gas stove"", ""Cooking basics"", ""Hangers"", ""Shampoo"", ""Microwave"", ""Coffee maker"", ""Cleaning products"", ""Conditioner"", ""Iron"", ""Air conditioning"", ""Private entrance"", ""Bathtub"", ""Freezer"", ""Body soap"", ""Kitchen"", ""Hair dryer"", ""Long term stays allowed"", ""Smoke alarm"", ""Refrigerator"", ""Fire extinguisher"", ""Hot water kettle"", ""Ethernet connection"", ""Bidet"", ""Hot water"", ""Dining table"", ""Heating"", ""Wifi"", ""TV"", ""Dishes and silverware"", ""Washer"", ""Dryer""]","$13,760.00",28,365,30.0,30.0,365.0,365.0,30.0,365.0,,t,12,42,72,347,2024-09-27,6,2,0,2019-05-19,2024-05-13,3.83,4.5,2.67,4.5,4.33,4.0,4.0,M130008900,t,10,10,0,0,0.09
4210,41862265,https://www.airbnb.com/rooms/41862265,20240927024131,2024-09-27,city scrape,Shinjuku Area! Hatagaya station 7MN 11ppl,Renewal opened house in Shinjuku and Shibuya area!<br />Our house can accommodate 11 people and is 3DK!<br />We provide a living space in which the interior of an old private house has been renovated.<br /><br />Bedroom1: Double bedx1 and Single bedx1<br />Bedroom2: Double bedx1 and futonx3<br />Living and bedroom: Double bedx1 and sofa bed x1<br /><br />The location of our home is just 2 station away from Shinjuku! 1 of the most popular area in Japan!<br /><br />◆7 ​​min walk from Hatagaya Station on Keio Line<br />◆20 minutes walk to Shinjuku,"The closest station to the house is Hatagaya station (The station is 6 min on foot).<br />The main train line you will be accessing is the KEIO New Shinjuku line.<br />Through this line you can access Shinjuku just 2 station away!<br /><br />You can also get to Shibuya by bus!<br />Using the number 66 and 64 bus that passes by in front of the bus stop near the station!<br /><br />The location of this house is amazing for anyone who plan to be around Tokyo as these 2 major stations in Tokyo are just a ride away! :D<br /><br />【About Shinjuku】<br />Shinjuku is one of the most popular districts of the whole town and is well know to be one of the center of night life in Tokyo. Also the center of entertainment you will find everything there from shopping, game centers and cat cafes to robot restaurants!<br /><br />Among the most famous parts of the district you will find the Kabukicho, center of entertainment that gathers plenty of bar (even girls or boys bars ^^), Izakaya type restaurants ",https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NDE4NjIyNjU%3D/original/96c9dc95-22ec-4543-8f76-466dc3b7ba90.jpeg,290270909,https://www.airbnb.com/users/show/290270909,Plays,2019-08-30,,"AND PLACE is a subsidiary owned and operated by Plays Inc. in Tokyo, Japan since 2015.

Services include managing private lodging listings in various languages including English, Japanese, Chinese, French, Spanish and Tagalog.

Our multi-lingual customer service department provides customer support to both house owners and guests who stay at our establishments. The houses available range from small apartments that can house at least 2 people to large 3 floor houses that can accommodate more than 24 guests. We also have houses and apartments that are wheelchair friendly. We also accommodate longer-term stays for guests who would like to stay for more than a month. Guests who plan to book for multiple months can contact us with their specific details and requirements regarding their accommodation needs.

Please feel free to contact us here via the airbnb platform for further enquiries regarding all our airbnb listings.",within an hour,100%,86%,f,https://a0.muscache.com/im/pictures/user/0fc360d4-933e-4048-b119-06659200d6d3.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/0fc360d4-933e-4048-b119-06659200d6d3.jpg?aki_policy=profile_x_medium,Shibuya District,7,15,"['email', 'phone']",t,t,"Shibuya City, Tōkyō-to, Japan",Shibuya Ku,,35.68036,139.67941,Entire home,Entire home/apt,11,1.0,1 bath,2.0,3.0,"[""Essentials"", ""Carbon monoxide alarm"", ""Patio or balcony"", ""Cooking basics"", ""Hangers"", ""Shampoo"", ""Stove"", ""Iron"", ""Air conditioning"", ""Kitchen"", ""Hair dryer"", ""Smoke alarm"", ""Refrigerator"", ""First aid kit"", ""Hot water"", ""Heating"", ""Wifi"", ""Dishes and silverware"", ""Washer""]","$31,514.00",20,1125,20.0,20.0,1125.0,1125.0,20.0,1125.0,,t,0,0,0,0,2024-09-27,3,2,0,2023-08-02,2023-11-19,3.33,3.0,2.33,3.67,4.0,4.0,3.33,M130020318,f,7,7,0,0,0.21
5562,46824094,https://www.airbnb.com/rooms/46824094,20240927024131,2024-09-27,previous scrape,10名カプセルベット貸切部屋　東京大手町ホステル,"Capsule beds for 10 people The entire room is an entire rental type!!<br />It is located within 10 minutes from Tokyo Station and 3 minutes from Otemachi Station, so it is ideal for those who want to enjoy sightseeing, and for those who want to stay suddenly or stay for a short period of time.We also provide pots and plates for simple cooking.<br />Price for bath towels!!Toothbrushes and razors can be rented.",,https://a0.muscache.com/pictures/49bfca4c-04de-4aaa-b7c7-c44c358eae70.jpg,202197609,https://www.airbnb.com/users/show/202197609,純香,2018-07-14,"Setagaya City, Japan","こんにちは 東京都内･川崎にﾎﾃﾙを運営しております。
いくつか物件がございますのでなにかご要望ございましたらお気軽にお問合せ下さいませ。",within an hour,100%,68%,f,https://a0.muscache.com/im/pictures/user/6006c72e-bf6f-49ef-97ad-141e0cad0337.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/6006c72e-bf6f-49ef-97ad-141e0cad0337.jpg?aki_policy=profile_x_medium,,33,45,"['email', 'phone']",t,t,,Chiyoda Ku,,35.68895,139.76686,Private room in hostel,Private room,10,,2 shared baths,10.0,,"[""Essentials"", ""Keypad"", ""Carbon monoxide alarm"", ""Washer \u2013\u00a0In unit"", ""Self check-in"", ""Hangers"", ""Shampoo"", ""Conditioner"", ""Iron"", ""Air conditioning"", ""Body soap"", ""Kitchen"", ""Hair dryer"", ""Smoke alarm"", ""Fire extinguisher"", ""Bidet"", ""Hot water"", ""Heating"", ""Wifi""]",,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,t,28,56,86,176,2024-09-27,5,0,0,2023-02-11,2023-07-15,3.2,3.4,2.8,3.2,4.2,4.8,3.4,Hotels and Inns Business Act | 千代田区千代田保健所 | 2千千保生環き第73号,f,6,3,2,1,0.25
6019,49695496,https://www.airbnb.com/rooms/49695496,20240927024131,2024-09-27,city scrape,2人合計値段 、東京の JRと成田からの京成 2駅ある 金町駅徒歩19分、完全鍵付き個室 出入り自由,"There are two  stations for Tokyo and another Keisei Railway station heading for Narita, so it's convenient to go to Narita, Chiba, or central Tokyo.  There are many buses from the front of the station, and there is only one bus to Asakusa.There are 3 stores and many near myhouse.There are ramen shops, restaurants, etc.  There is also a post office, the famous Park and a shrine.  Immediately .behind Mizumoto Junior High School, which is a quiet and quiet residential area.",,https://a0.muscache.com/pictures/55c63f02-ad7d-4315-b6f7-ace43d19fc88.jpg,400717523,https://www.airbnb.com/users/show/400717523,中川,2021-05-09,"Chuo City, Japan","日本での旅行または東京での旅行を選んでいただいた皆様に、できるだけ長い間の滞在を楽しんでいただけるように、できるだけ安い価格で 、4階建ての浅草にも近い 葛飾区の自宅を提供しています。私の本業は看護師ですが家族と協力して、 鍵付き個室 のアパートのように皆さんに自由に過ごしていただけるようなお部屋を提供するように心がけております。
For those who choose to travel in Japan or Tokyo, we offer a four-story house in Katsushika Ward, close to Asakusa, at the lowest possible price so that you can enjoy your stay as long as possible.
 My main job is a nurse, but in cooperation with my family, I try to provide a room .",within a day,100%,73%,f,https://a0.muscache.com/im/pictures/user/d74da028-4d7a-4b33-9edc-70878bd834aa.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d74da028-4d7a-4b33-9edc-70878bd834aa.jpg?aki_policy=profile_x_medium,,2,3,"['email', 'phone']",t,t,,Katsushika Ku,,35.78292,139.86491,Private room in home,Private room,2,1.0,1 shared bath,1.0,2.0,"[""Essentials"", ""Bed linens"", ""Rice maker"", ""Mini fridge"", ""Carbon monoxide alarm"", ""\u82b1\u738b\u306a\u3069 conditioner"", ""Hangers"", ""Shampoo"", ""Cooking basics"", ""Stove"", ""Microwave"", ""Waterfront"", ""Self check-in"", ""Lockbox"", ""Cleaning products"", ""Paid parking lot off premises"", ""Iron"", ""Air conditioning"", ""Private entrance"", ""Laundromat nearby"", ""Exterior or entryway security camera present"", ""Freezer"", ""Smoking allowed"", ""\u82b1\u738b\u306a\u3069 body soap"", ""Lock on bedroom door"", ""Mosquito net"", ""Kitchen"", ""Dedicated workspace"", ""Pets allowed"", ""Hair dryer"", ""Indoor fireplace: electric"", ""Long term stays allowed"", ""Smoke alarm"", ""Refrigerator"", ""Fire extinguisher"", ""Hot water kettle"", ""Lake access"", ""Ethernet connection"", ""Extra pillows and blankets"", ""Bidet"", ""Toaster"", ""Hot water"", ""Heating"", ""Wifi"", ""TV"", ""Dishes and silverware"", ""Washer"", ""Books and reading material"", ""Dryer"", ""Room-darkening shades""]","$4,900.00",3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,,t,27,57,87,87,2024-09-27,4,1,0,2023-03-29,2024-03-22,3.25,3.75,2.5,3.0,4.25,4.0,4.0,M130024785,f,2,0,2,0,0.22
6381,52588416,https://www.airbnb.com/rooms/52588416,20240927024131,2024-09-27,city scrape,Centrally located private room in shinjuku ku.,"A private room  to provide a convenient stay for tourists and travelers.  toilet , shower and kitchen are shared.<br /><br />Located at the central district of Shinjuku.  Staying in this apartment will save up on your transportation cost, as you can find everything you want at just walking distance.  <br /><br /><br />THERE IS COIN LAUNDRY NEAR THE BUILDING.",You are just few minutes away to some tourists spots in Shinjuku.<br />*shinjukugyoenmae   8 min walk<br />* shinjukugyoen park  8 min walk<br />* Hanazono Shrine - 13 mins walk<br />* Shinjuku Golden Gai - 14 mins walk<br />* Godzilla Head - 15 mins walk<br />* Ramen - 7 mins walk<br />* Shinjuku Shopping District Area - 10 mins walk<br />* shinjuku san chou me area 10 min walk,https://a0.muscache.com/pictures/miso/Hosting-52588416/original/d9e56337-a39c-4aaf-b201-76bdcbbf0a5f.jpeg,56653460,https://www.airbnb.com/users/show/56653460,Taku,2016-01-29,"Shinjuku, Japan","Hi there

I am working in tokyoaccommo! We have super cheap accommodation in central area, Shinjuku, Shibuya, Shimokitazawa, Nakano, and Koenji. 

Please send us a message if any questions!
",within a few hours,100%,81%,f,https://a0.muscache.com/im/pictures/user/3953dbe6-fc7f-4fc8-aab9-b1618bf2f29e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/3953dbe6-fc7f-4fc8-aab9-b1618bf2f29e.jpg?aki_policy=profile_x_medium,Nakano District,11,11,"['email', 'phone']",t,t,"Shinjuku City, Tokyo, Japan",Shinjuku Ku,,35.69489,139.70317,Private room in home,Private room,1,1.0,1 bath,1.0,1.0,"[""Dedicated workspace"", ""Essentials"", ""Hair dryer"", ""Smoke alarm"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Wifi"", ""Elevator"", ""Self check-in"", ""Lockbox"", ""Shampoo"", ""Lock on bedroom door"", ""Washer"", ""Dryer""]","$25,000.00",4,1125,4.0,4.0,1125.0,1125.0,4.0,1125.0,,t,30,60,90,91,2024-09-27,6,0,0,2023-02-01,2023-06-05,3.83,3.67,2.83,4.5,4.33,4.33,3.5,M130024651,f,10,5,5,0,0.3
9515,909844868195906386,https://www.airbnb.com/rooms/909844868195906386,20240927024131,2024-09-27,city scrape,Shinjuku Double Bed Room/Perfect Access Okubo2min,"It's a double bed studio located near Shinjuku.<br />1. It's a completely independent studio, so it's a comfortable place to rest when you travel.<br />2. Located in the center of Tokyo, it has excellent accessibility and is easy to visit all parts of Tokyo.<br />3. The nearest subway is a 3-minute walk from the inn, so you can enjoy the town in Shinjuku.<br />3. There are many restaurants and convenience stores around the inn.","Nearest Korea Town (Shin-Okubo)<br />Near Kabukicho area in Shinjuku (15 minutes walk)<br />There are Golden Gai, Robot Restaurant, and the Samurai Museum. Golden Kai is a city with about 300 Japanese bars, and you can feel the unique atmosphere of Japan.<br />Shinjuku Station has various shops such as Don Quixote, Big Camera, and shopping mall, as well as various tourist attractions such as VRZONE.",https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6OTA5ODQ0ODY4MTk1OTA2Mzg2/original/ef4c2b6e-b1f8-4ce6-a182-dd4e87b3ef9d.jpeg,228162180,https://www.airbnb.com/users/show/228162180,Henna,2018-11-29,,,within an hour,100%,99%,f,https://a0.muscache.com/im/pictures/user/71507e6d-416a-442e-82f7-a273f8877f5e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/71507e6d-416a-442e-82f7-a273f8877f5e.jpg?aki_policy=profile_x_medium,,5,5,"['email', 'phone']",t,t,"Shinjuku City, Tokyo, Japan",Shinjuku Ku,,35.702332870058434,139.69704256016252,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Paid parking off premises"", ""Hair dryer"", ""Bed linens"", ""Smoke alarm"", ""Hot water"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Wifi"", ""TV"", ""Shampoo"", ""Body soap"", ""Washer"", ""Kitchen""]","$6,500.00",1,30,1.0,1.0,30.0,30.0,1.0,30.0,,t,3,12,42,126,2024-09-27,7,1,0,2023-07-22,2023-10-02,3.29,3.29,2.86,4.14,3.86,4.71,3.43,Hotels and Inns Business Act | 新宿区保健所 | 30新保衛環第213号,f,5,2,3,0,0.48
9780,922663400673597583,https://www.airbnb.com/rooms/922663400673597583,20240927024131,2024-09-27,city scrape,最大6名可能｜池袋エリアで暮らすように泊まる！東京ドーム近く｜,"We can accommodate up to 6 people!Feel free to use room 301 and 305 in the listing diagram♪<br />Comfortable number of people [up to 4 adults]<br /><br />This is for more than 3 people.Especially recommended for families of two generations.<br /><br />Please do not hesitate to contact us for early check-in and★ late check-out.<br />[Remote work correspondence]<br />Desk and chairs for remote work are provided.<br />High-speed Wi-Fi is equipped with high-speed Wi-Fi<br />In addition to convenience stores and supermarkets, there are several restaurants nearby, and the nearby restaurant environment is also full.<br />The space is on 3rd floor.Because it is the corner room, it is good sunlight.The building has an elevator.<br /><br /><br />[1 minute walk from the nearest station]<br />1 minute walk from Shin-Otsuka Station on the Tokyo Metro Marunouchi Line<br />7mins by JR Otsuka station<br />Access is good.<br /><br />[Access]<br />◆Korakuen Station (Tokyo Dome & Tokyo Dome City)... 3 mi","[Neighborhood vibe]<br />The house is located in a quiet residential area, so you can stay in a very quiet environment at night.Also, there are convenience stores and supermarkets around, so it is also convenient for shopping and eating ingredients.<br /><br />Nearest station<br />① The nearest station is Shin-Otsuka Station/M24 on the Tokyo Metro Marunouchi Line.It is a 1-minute walk.<br />JR Yamanote line ""Otsuka station/JY12"" 7 minutes on foot.<br /><br />[Access to sightseeing spots]<br />Tokyo Skytree: 37 min by train<br />Asakusa: 26 minutes by train<br />New accommodation: 12 minutes by train<br />Shibuya: 19 minutes by tram<br />Ikebukuro: 3 minutes by tram<br />Tokyo Disney resort: 52 minutes by train<br />Ghibli Museum: 36 minutes by train<br />Ginza: 26 min by tram<br />Ueno: 14 min by train<br />· Odaemand: 47 minutes by tram<br />Akihabara: 17 minutes by train<br /><br />[Shibeo Store]<br />Convenience store ""Seven-Eleven"": 80m 1-minute walk<br />Supermarket ""Maibasushi"": ",https://a0.muscache.com/pictures/miso/Hosting-922663400673597583/original/d8c91fe1-0d3e-4763-91a5-e6cf7f063cae.jpeg,518641505,https://www.airbnb.com/users/show/518641505,Yuki,2023-06-06,"Tokyo, Japan","Hi. I am YUKI .
Thank you for checking our rooms.

I became  backpacker after studying abroad, and I love to travel so much that I have been to a total of 12 countries and 48 cities in world. Please let me know your travel recommendations.
Thank you.

你好。
我是YUKI。
谢谢你的来访。
我在出国留学后成为一名背包客，我非常喜欢旅行，我总共去过12个国家和48个城市，主要是在亚洲。 请让我 知道你的旅行建议。

안녕하세요.
유키입니다.
객실을 확인해 주셔서 감사합니다.

유학 후 배낭여행을 시작했고, 아시아를 중심으로 총 12개국 48개 도시를 다녀올 정도로 여행을 좋아합니다. 여행 추천을 부탁드립니다.",within an hour,100%,96%,f,https://a0.muscache.com/im/pictures/user/User-518641505/original/4ac30a13-fece-4222-b4d6-597893977744.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-518641505/original/4ac30a13-fece-4222-b4d6-597893977744.jpeg?aki_policy=profile_x_medium,,5,5,"['email', 'phone']",t,t,"Toshima City, Tokyo, Japan",Toshima Ku,,35.726771749966034,139.73042524005226,Entire rental unit,Entire home/apt,6,2.0,2 baths,2.0,4.0,"[""Essentials"", ""Bed linens"", ""Rice maker"", ""Mini fridge"", ""Carbon monoxide alarm"", ""\u8cc7\u751f\u5802 conditioner"", ""Central heating"", ""Cooking basics"", ""Hangers"", ""Ceiling fan"", ""Self check-in"", ""Lockbox"", ""Microwave"", ""Cleaning products"", ""Iron"", ""Private patio or balcony"", ""\u65e5\u7acb refrigerator"", ""Bathtub"", ""Private entrance"", ""Laundromat nearby"", ""Clothing storage: closet"", ""Elevator"", ""Freezer"", ""Theme room"", ""Children\u2019s dinnerware"", ""Kitchen"", ""Dedicated workspace"", ""Hair dryer"", ""\u8cc7\u751f\u5802 body soap"", ""Long term stays allowed"", ""Smoke alarm"", ""Cleaning available during stay"", ""Fire extinguisher"", ""Park view"", ""Electrolux induction stove"", ""Window guards"", ""Ethernet connection"", ""Extra pillows and blankets"", ""Window AC unit"", ""Table corner guards"", ""First aid kit"", ""Hot water"", ""Dining table"", ""Wifi"", ""Drying rack for clothing"", ""Outlet covers"", ""\u8cc7\u751f\u5802 shampoo"", ""Dishes and silverware"", ""Hot water kettle"", ""Luggage dropoff allowed"", ""Room-darkening shades""]","$20,773.00",3,180,3.0,3.0,180.0,180.0,3.0,180.0,,t,1,24,54,136,2024-09-27,2,1,0,2023-08-27,2023-11-05,3.5,2.5,2.5,3.5,3.5,4.0,2.5,M130033822,t,5,5,0,0,0.15
12892,1062139753840632734,https://www.airbnb.com/rooms/1062139753840632734,20240927024131,2024-09-27,city scrape,NY201) Accommodates up to 3 people! Free Wi-Fi!,"This guest house, newly renovated in 2023, is located in Shinjuku's Kabukicho, the heart of Tokyo, and Shin-Okubo, recently the hottest Koreatown in Tokyo! We hope you enjoy your trip to Tokyo with our affordable and comfortable facilities. Enjoy a peaceful time in a quiet accommodation, while still being in the center of the city.","This Room is located in the heart of Shinjuku, in the heart of Tokyo.<br />Tokyo's main attractions<br />(Ginza, Shibuya, Tokyo Tower, Tsukiji Market, Disneyland, Ikebukuro, etc.)<br />It is easily accessible by all public transport.<br />The walking time from the apartment to each station is as follows:<br />4 minutes on foot to JR Shin-Okubo Station<br />★4-minute walk to Higashi-Shinjuku Station on the Toei Oedo Line and Fukutoshin Line<br />★10 minutes on foot to Seibu Shinjuku Station<br />A 15-minute walk to Shinjuku Gyoenmae Station<br />★A 20-minute walk to Shinjuku Station, including Narita Express, JR Yamanote Line, JR Chuo Line, Marunouchi Line, Toei Shinjuku Line, and Toei Oedo Line!<br />1 minute walk to multiple convenience stores<br />3 minutes walk to local grocery store<br />A 15-minute walk to Shinjuku Gyoen Garden<br />50 minutes by train from Haneda Airport<br />★90 minutes by train from Narita Airport",https://a0.muscache.com/pictures/miso/Hosting-1062139753840632734/original/ece3e49b-f2a9-4fce-a4fb-c76c3fa63e3f.jpeg,461802335,https://www.airbnb.com/users/show/461802335,Otsuka,2022-05-31,,"도쿄에 오신 것을 환영합니다.

여행에 최고의 서비스를 제공해드리겠습니다.

언제든지 참여해주세요.

감사합니다 ~!",within an hour,99%,99%,f,https://a0.muscache.com/im/pictures/user/734cbb24-ae6f-4628-83c2-4390fc1e1c44.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/734cbb24-ae6f-4628-83c2-4390fc1e1c44.jpg?aki_policy=profile_x_medium,,13,24,"['email', 'phone']",t,t,"Shinjuku City, Tokyo, Japan",Shinjuku Ku,,35.70237900000001,139.7055372,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,2.0,"[""Essentials"", ""Carbon monoxide alarm"", ""Patio or balcony"", ""Cooking basics"", ""Hangers"", ""Shampoo"", ""Stove"", ""Self check-in"", ""Microwave"", ""Lockbox"", ""Cleaning products"", ""Conditioner"", ""Air conditioning"", ""Pocket wifi"", ""Private entrance"", ""Bathtub"", ""Laundromat nearby"", ""Elevator"", ""Body soap"", ""Mosquito net"", ""Kitchen"", ""Dedicated workspace"", ""Hair dryer"", ""Long term stays allowed"", ""Smoke alarm"", ""Refrigerator"", ""Fire extinguisher"", ""Hot water kettle"", ""Clothing storage"", ""First aid kit"", ""Hot water"", ""Heating"", ""TV"", ""Dishes and silverware"", ""Washer"", ""Room-darkening shades""]","$12,857.00",1,365,1.0,1.0,365.0,365.0,1.0,365.0,,t,9,28,57,324,2024-09-27,4,4,0,2024-02-01,2024-08-07,3.25,3.25,2.75,3.5,3.75,3.25,3.25,M130037706,t,13,13,0,0,0.5
